"Compose your new article below, then click ""Post Article"" to publish the article.";"Compose your new article below, then click ""Post Article"" to publish the article."
"Article Title";"Article Title"
"Tags (Keywords)";"Tags (Keywords)"
"Category";"Category"
"Content";"Content"
"Main Photo";"Main Photo"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Draft";"Draft"
"If article is published, it cannot be switched back to draft mode.";"If article is published, it cannot be switched back to draft mode."
"Privacy";"Privacy"
"Who may see this article?";"Who may see this article?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this article?";"Who may post comments on this article?"
"Post Article";"Post Article"

"Edit Article";"Edit Article"
"Edit your article below, then click ""Save Changes"" to save your article.";"Edit your article below, then click ""Save Changes"" to save your article."
"Album Cover";"Album Cover"

"Short Description";"Short Description"
"You may optionally enter article's excerpt or summary below";"You may optionally enter article's excerpt or summary below"

"Recently Posted";"Recently Posted"

"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"Most Liked";"Most Liked"
"Last Updated";"Last Updated"
"Sponsored Articles";"Sponsored Articles"
"Featured Articles";"Featured Articles"
"Recent Articles";"Recent Articles"

"Widget Settings";"Widget Settings"
"These settings affect all article widgets.";"These settings affect all article widgets."

"User Profile Articles";"User Profile Articles"
"Articles Per Widget Block";"Articles Per Widget Block"
"Main Photo Cover";"Main Photo Cover"
"Show";"Show"
"Everyone's Posts";"Everyone's Posts"
"Only My Friends' Posts";"Only My Friends' Posts"

"Status";"Status"
"All Articles";"All Articles"
"Only Featured Articles";"Only Featured Articles"
"Only Non-Featured Articles";"Only Non-Featured Articles"

"Category";"Category"
"All Categories";"All Categories"

"Your changes have been saved.";"Your changes have been saved."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Browse Articles";"Browse Articles"
"My Articles";"My Articles"

"You have already created the maximum number of articles allowed.";"You have already created the maximum number of articles allowed."
"If you would like to create a new article, please <a href="%1$s">delete</a> an old one first.";"If you would like to create a new article, please <a href="%1$s">delete</a> an old one first."
"If you would like to create a new article, please delete an old one first.";"If you would like to create a new article, please delete an old one first."

"Everyone's Posts";"Everyone's Posts"
"Only My Friends' Posts";"Only My Friends' Posts"

"Next &#187;";"Next &#187;"
"&#171; Previous";"&#171; Previous"

"%s has not posted an article yet.";"%s has not posted an article yet."

"ARTICLES_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the articles your users have posted. You can use this page to monitor these articles and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific articles. Leaving the filter fields blank will show all the articles on your social network."
"There are no articles by your members yet.";"There are no articles by your members yet."

"Delete Article?";"Delete Article?"
"ARTICLE_VIEWS_SCRIPTS_ADMINMANAGE_DELETE_DESCRIPTION";"Are you sure that you want to delete this article? It will not be recoverable after being deleted."
"Delete Article Category?"
"Move Articles To Category";"Move Articles To Category"
"ARTICLES_VIEWS_SCRIPTS_ADMINCATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their article entries, create the categories below. This feature is useful if you want to list all your users' article entries that If you have no categories, your users will not be given the option of assigning a article category."
"ARTICLES_VIEWS_SCRIPTS_ADMINCATEGORIES_DELETE_DESCRIPTION";"Are you sure that you want to delete this category? It will not be recoverable after being deleted. You also have to move existing articles that belong to this deleting category to a new category."
"Move Article Category";"Move Article Category"
"ARTICLES_VIEWS_SCRIPTS_ADMINCATEGORIES_MOVE_DESCRIPTION";"You can move article's category from one to another by completing form below."

"From Category";"From Category"
"To Category";"To Category"
"Move Articles";"Move Articles"

"Featured Article?";"Featured Article?"
"ARTICLE_VIEWS_SCRIPTS_ADMINMANAGE_FEATURED_DESCRIPTION";"Would you like to mark this article as featured?"
"Sponsored Article?";"Sponsored Article?"
"ARTICLE_VIEWS_SCRIPTS_ADMINMANAGE_SPONSORED_DESCRIPTION";"Would you like to mark this article as sponsored?"

"Yes";"Yes"
"No";"No"
"Featured";"Featured"
"Sponsored";"Sponsored"

"Article Categories";"Article Categories"
"ARTICLES_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their article entries, create the categories below. This feature is useful if you want to list all your users' article entries that If you have no categories, your users will not be given the option of assigning an article category."
"There are currently no categories.";"There are currently no categories."
"Upload complete.";"Upload complete."
"An error occurred:";"An error occurred:"
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"Article Questions";"Article Questions"
"View Articles";"View Articles"

"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Articles?";"Allow Viewing of Articles?"
"Do you want to let members view articles? If set to no, some other settings on this page may not apply.";"Do you want to let members view articles? If set to no, some other settings on this page may not apply."
"No, do not allow articles to be viewed.";"No, do not allow articles to be viewed."
"Yes, allow viewing of articles.";"Yes, allow viewing of articles."
"Yes, allow viewing of all articles, even private ones.";"Yes, allow viewing of all articles, even private ones."
